preset,F_N,burn_s,dv_ms,separation_km,cross_min_moon_km,cross_crash,fuel_mass_chemical_kg,fuel_mass_electric_kg,hohmann_dv_ms
"Перелёт Земля→Луна (5 Н, 3 ч)",5.0,10800,108.0,105905.39150148115,1755.6087013262522,0,18.0221,1.8321,3133.76
"Побег от L1 (0.05 Н, 2 ч)",0.05,7200,0.7200000000000001,100942.71706930912,6321.320656899038,0,0.1224,0.0122,3133.76
