name,x_num_m,y_num_m,x_num_tkm,y_num_tkm,x_analytical_m,y_analytical_m,error_km,residual_ax,residual_ay
L1,323695940.7655473,0.0,323.6959407655473,0.0,321046681.82282,0.0,2649.258942727268,2.168404344971009e-18,0.0
L2,446530684.11085904,0.0,446.53068411085906,0.0,444553318.17718,0.0,1977.3659336790442,-1.3010426069826053e-18,0.0
L3,-386651318.66274,0.0,-386.65131866274,0.0,-389430716.225396,0.0,2779.3975626559854,4.1504614415460717e-19,0.0
L4,188080518.55769807,332924827.59047747,188.08051855769807,332.9248275904775,189065000.0,335558863.20435643,2812.0005912907673,1.4230153513872246e-19,9.520650327138336e-19
L5,188080518.5576985,-332924827.5904772,188.0805185576985,-332.9248275904772,189065000.0,-335558863.20435643,2812.0005912908446,3.8285889215894375e-19,-8.707498697774207e-19
